Date,uk-politics-policy_Titles,uk-politics-policy_Subtitles,titles_finBERTLabel,titles_finBERTScore,Subtitles_finBERTLabel,Subtitles_finBERTScore
2023-07-03T12:30:20.221Z,Welsh town left on road to nowhere after Cardiff scraps new bypasses,Environmentalists hail ‘world-leading’ curbs on new highway projects as angry locals worry about economic impact and increased pollution,Neutral,0.999772012233734,Negative,0.9924330711364746
2023-07-03T08:30:10.027Z,"What first poll in Nadine Dorries’ seat tells us, plus its caveats",Past attempts at temperature taking in constituencies shows challenge of getting a representative sample,Neutral,0.9981006979942322,Negative,0.996717631816864
2023-07-03T04:00:10.426Z,"Water has a private equity, not a private ownership, issue",The listed groups are less geared and have made a better start at tackling problems with ailing infrastructure,Neutral,0.99990713596344,Positive,0.9999810457229614
2023-07-02T17:33:50.002Z,Starmer faces Labour unrest over ‘witch-hunt’ to stifle dissent,Disquiet in main UK opposition party as Corbyn ally John McDonnell fears suspension and threat of expulsion hangs over centrist figure,Negative,0.9999232292175292,Neutral,0.9807440638542176
2023-07-02T17:17:43.310Z,"Thames Water crisis could hit UK investment, ministers warn",Utility seeks £1bn to shore up finances amid concern that investment in US is more attractive,Negative,0.9997634291648864,Positive,0.9999397993087769
none,none,none,0,0.0,0,0.0
2023-07-02T16:11:46.577Z,Call for UK to use co-investment with pension funds to drive backing for riskier assets,ABI trade body pushes for state support ahead of sector reforms being unveiled by chancellor,Neutral,0.999953269958496,Neutral,0.9910839796066284
2023-06-30T19:50:52.321Z,Thames Water travails threaten to plunge privatised sector into crisis ,CEO’s abrupt exit and revelations of planning for temporary nationalisation intensify scrutiny of debt-laden industry,Negative,0.9998730421066284,Negative,0.9998764991760254
2023-06-30T18:28:40.872Z,Sunak promises better health service soon with 15-year plan,Healthcare groups welcome ambition of long-awaited blueprint but warn more detail needed,Positive,0.9999996423721312,Positive,0.935645580291748
2023-06-30T18:03:45.347Z,Thames Water shareholder shows support for troubled company ,Universities Superannuation Scheme gives backing to turnround plan as Severn Water boss tries to rally sector against nationalisation,Positive,0.9999943971633912,Neutral,0.8287944197654724
none,none,none,0,0.0,0,0.0
2023-06-30T17:58:32.940Z,England’s ill-fated experiment with privatising water,Problems at Thames show how sector was reshaped by financial engineering,Neutral,0.9871538281440736,Negative,0.9999476671218872
2023-06-30T16:29:10.158Z,Auditors flag issue with Scottish National party’s accounts,Accountants provide a qualified audit opinion after highlighting missing documents,Neutral,0.6367520093917847,Neutral,0.9999313354492188
none,none,none,0,0.0,0,0.0
2023-06-30T16:25:59.326Z,Partygate inquiry official Sue Gray to start work for Labour in September ,Whitehall vetting body finds no evidence ex-senior civil servant favoured opposition party in old job,Neutral,0.9866133332252502,Neutral,0.9999375343322754
2023-06-30T15:56:47.780Z,Will Jeremy Hunt’s cost of living ‘action plan’ rescue UK consumers?,Campaigners say more needs to be done in the battle to reduce bills and increase savings rates,Neutral,0.673008143901825,Neutral,0.9769986271858216
2023-06-30T15:01:50.365Z,Tory minister Zac Goldsmith quits after MPs’ partygate rebuke,Boris Johnson ally attacks UK prime minister for being ‘uninterested’ in climate issues,Neutral,0.9999595880508424,Neutral,0.9784391522407532
2023-06-30T15:00:02.474Z,Britain must break out of its doom loop,"Brexit, Covid and terrible governments have left their scars but our national despondency is becoming a trap",Neutral,0.9992539286613464,Negative,0.9676081538200378
2023-06-30T13:30:22.000Z,The crisis facing the UK water industry,Plus: Appeal court’s Rwanda ruling deals a blow to ministers,Negative,0.9999960660934448,Neutral,0.9747155904769896
none,none,none,0,0.0,0,0.0
2023-06-30T08:30:02.741Z,Rwanda plan flaws are not separate from moral argument against it ,Threats to freedom and democracy are behind pragmatic shortcomings of policy to curb small boat crossings,Neutral,0.5338302850723267,Negative,0.803886890411377
2023-06-30T04:00:03.500Z,Why do some UK cities punch below their weight?,Poor transport between cities beyond the south-east is holding back Manchester and Birmingham ,Neutral,0.6708819270133972,Negative,0.9999992847442628
2023-06-29T23:05:03.107Z,"Overhaul of courts in England and Wales beset by problems, say MPs",Digital case-management system and delays to reforms highlighted by report,Negative,0.6981753706932068,Negative,0.999996542930603
2023-06-29T23:04:59.810Z,"Waste reduction plans in England ‘do not exist’, watchdog warns",Four years after outlining ambitious targets ministers have made little progress ,Negative,0.914846658706665,Negative,0.9999964237213136
2023-06-29T21:31:05.888Z,NHS aims to double training places for doctors and nurses ,Long-awaited plan for health service workforce in England seeks to tackle staffing crisis and waiting lists,Neutral,0.9992239475250244,Negative,0.7143389582633972
2023-06-29T18:22:48.845Z,Nigel Farage says he is being driven from UK by pro-Remain banks,Ex-Brexit party leader claims ‘serious political persecution’ as accounts face closure ,Neutral,0.9999955892562866,Negative,0.4984011650085449
2023-06-29T17:54:14.175Z,UK regulator to crack down on electricity generators making ‘excessive profits’,Ofgem proposes reform after finding some power station owners held back supplies to secure higher prices,Negative,0.9999632835388184,Neutral,0.9986901879310608
2023-06-29T17:37:35.214Z,Chancellor’s ‘stealth tax’ sweeps earners into higher-rate bands,Number of higher-rate taxpayers set to surge to 5.6mn ,Neutral,0.9923263788223268,Positive,0.9998024106025696
2023-06-29T17:20:37.487Z,Why Thames Water is under growing strain,Cost of utility’s £16bn debt has surpassed price increases it has been able to pass on to consumers,Negative,0.9479248523712158,Positive,0.9995911717414856
2023-06-29T17:17:10.149Z,Sturgeon admits Scotland’s Covid planning was ‘inadequate’,Former first minister says diversion of resources to no-deal Brexit hindered pandemic strategy,Negative,0.9236265420913696,Negative,0.999729573726654
2023-06-29T17:05:04.664Z,Ministers seek to overturn ruling against UK migration plan ,Court of Appeal finds that scheme to deport asylum seekers to Rwanda is unlawful ,Neutral,0.9552394151687622,Neutral,0.9905546307563782
2023-06-29T16:28:53.711Z,City minister rejects claims listing reforms would hurt London’s standing,Andrew Griffith and LSE chief Julia Hoggett defend FCA’s planned shake-up from complaints by top investors,Negative,0.9998772144317628,Neutral,0.985343873500824
2023-06-29T16:00:24.365Z,Unlocking the UK-EU Horizon deal Premium content,Also in this week’s newsletter: EU signs off on financial services discussion forum,Positive,0.9999113082885742,Neutral,0.9999874830245972
2023-06-29T14:58:19.216Z,Bank of England unveils post-Brexit overhaul of insurers’ rules ,Central bank’s regulation arm says Solvency II proposals will ‘reduce bureaucracy’,Neutral,0.978852927684784,Positive,0.4374703764915466
none,none,none,0,0.0,0,0.0
2023-06-29T11:25:19.522Z,Thames Water appoints Montague as chair ,Veteran troubleshooter brought in as government contemplates potential taxpayer rescue,Neutral,0.9999880790710448,Negative,0.9999662637710572
2023-06-29T10:30:18.514Z,Boris Johnson allies censured over attacks on MPs probing partygate,"Former cabinet ministers Rees-Mogg, Dorries and Patel among those criticised for attacking UK parliamentary committee",Neutral,0.8698949813842773,Neutral,0.9273985028266908
2023-06-29T08:30:25.950Z,Labour’s strategy will be bound by an enfeebled economic inheritance ,"Rishi Sunak struggles to unite downbeat Tory party, while UK’s overlapping crises may force Keir Starmer to take riskier measures",Neutral,0.9956362843513488,Negative,0.9999486207962036
2023-06-29T04:00:24.615Z,UK braced for Nimby wars over clean energy infrastructure,Grid upgrades to support wind power likely to spark strong objections in affected communities,Neutral,0.5786715745925903,Positive,0.9999998807907104
none,none,none,0,0.0,0,0.0
2023-06-29T03:00:23.798Z,Labour seeks to unlock £10bn for investment in green infrastructure,UK opposition party plans to change ‘covered bond’ rules to include environmental projects,Positive,0.6577520966529846,Neutral,0.9998880624771118
2023-06-28T23:01:09.607Z,Wind farms drive 42% surge in Crown Estate’s property profits,Boost for UK’s public finances after King’s decision to reduce take for ‘wider public good’,Positive,1.0,Positive,0.994975447654724
none,none,none,0,0.0,0,0.0
2023-06-28T19:03:35.190Z,Hunt to review profits in UK food industry supply chain,Chancellor agrees steps with regulators in response to high food inflation and the cost of living crisis,Neutral,0.9980859756469728,Neutral,0.9997171759605408
2023-06-28T18:07:15.504Z,UK government looks at nationalising Thames Water as crisis deepens,Ministers on standby to intervene in debt-laden business a day after abrupt exit of chief Sarah Bentley,Neutral,0.978379487991333,Neutral,0.9994460940361024
2023-06-28T17:37:50.362Z,UK water sector faces biggest crisis since Thatcher’s 1989 privatisation,Contingency plan to rescue Thames Water with others also struggling under debt burden,Negative,0.9940832257270812,Negative,0.9999889135360718
2023-06-28T16:58:22.422Z,Korski drops out of London mayoral race after groping allegation,Contender to be Tory candidate in next year’s election withdraws after Daisy Goodwin claims he acted inappropriately a decade ago,Neutral,0.999785840511322,Neutral,0.9505288600921632
2023-06-28T16:44:23.852Z,Push payment fraud complaints rise,"Losses rose to £485mn, despite fall in cases at banks that joined compensation scheme",Positive,0.9811407327651978,Positive,0.9845955967903136
none,none,none,0,0.0,0,0.0
2023-06-28T15:58:30.446Z,BoE governor signals interest rates likely to stay higher for longer,Andrew Bailey suggests financial markets are wrong in their bets about future monetary policy,Negative,0.7555167078971863,Neutral,0.9785287380218506
2023-06-28T12:35:08.227Z,Britain is being primed for a ‘hopeless’ election,"Fear of reckless spending pledges holds Labour back from offering voters change, while Tories play up its risks ",Neutral,0.999990701675415,Negative,0.9998503923416138
2023-06-28T08:32:09.264Z,Prince William’s latest campaign may invite awkwardness with politicians,"Heir launches five-year project aimed at ending homelessness, a popular cause that governments have historically deprioritised ",Neutral,0.999990701675415,Neutral,0.5008615255355835
2023-06-28T04:00:10.150Z,The last Brexit deal? Gibraltar fears a hard border with Spain,A power struggle in Madrid threatens to dash the UK territory’s hopes for a golden age of closer ties with the EU,Negative,0.9603067636489868,Negative,0.999970555305481
2023-06-28T04:00:09.916Z,UK manufacturers warn Brexit is undermining their place in EU supply chains,"High-end industry is particularly at risk, heightening Britain’s productivity crisis, economists warn",Negative,0.9854010939598083,Negative,0.9999916553497314
2023-06-27T23:01:43.160Z,"UK progress on climate change worryingly slow, advisers warn","Global leadership has been lost because of a lack of ministerial initiative, independent committee to government says",Negative,0.9999759197235109,Negative,0.999902844429016
2023-06-27T23:01:31.204Z,"One in 10 pupils taught in English schools that need rebuilding, says watchdog",National Audit Office warns of declining conditions following years of under-investment by UK government ,Neutral,0.9972789883613586,Negative,0.9996089339256288
2023-06-27T18:35:50.830Z,Tories will not probe allegations against London mayoral candidate,TV producer says she was groped by then special adviser 10 years ago in Downing Street,Neutral,0.9922850131988524,Neutral,0.9998383522033693
2023-06-27T17:33:41.425Z,Boris Johnson faces fresh questions over 2018 party at Lebedev villa ,Most senior civil servant of former foreign secretary’s department was unaware of controversial visit to Italy ,Neutral,0.9898402690887452,Neutral,0.6958361864089966
2023-06-27T17:09:57.519Z,"Boris Johnson’s Daily Mail column broke rules, vetting body warns",Acoba says former UK PM’s ‘clear breach’ illustrates need for overhaul of system governing former officials’ jobs,Neutral,0.9989891648292542,Neutral,0.9948405623435974
2023-06-27T15:45:43.482Z,UK rejects claim that EU science programme talks are foundering ,Experts warn that delay to membership of Horizon harms Britain’s aspiration to be science superpower  ,Neutral,0.7491922378540039,Negative,0.9995421171188354
2023-06-27T13:50:05.826Z,Senior doctors in England vote for strike action over pay,Consultants represented by the BMA to walk out as nurses end industrial action,Neutral,0.9993383288383484,Neutral,0.999514102935791
2023-06-27T13:15:57.826Z,Hunt to discuss cost of living crisis with regulators,Chancellor will ask Britain’s watchdogs whether there is evidence of price gouging by companies,Neutral,0.998798370361328,Neutral,0.9999175071716307
2023-06-27T11:58:51.569Z,Matt Hancock says UK pandemic planning was skewed towards disaster clear-up,Former health secretary tells Covid inquiry the country should have focused more on halting disease transmission,Neutral,0.998729169368744,Neutral,0.9999860525131226
none,none,none,0,0.0,0,0.0
2023-06-27T08:30:37.914Z,Even the Tories’ performative aims of Rwanda scheme struggle to land,Purpose of showpiece policy is about giving Conservative MPs evidence they are tackling illegal migration ,Negative,0.9879989624023438,Neutral,0.999550759792328
2023-06-27T04:00:39.264Z,UK’s projected windfall tax take from North Sea levy drops 40%,Most recent Treasury forecast of £26bn reflects sharp drop in oil and gas prices in recent months,Neutral,0.5629889369010925,Negative,0.9999890327453612
2023-06-27T03:00:37.081Z,Labour covertly met US Democrats during Sunak’s Washington visit,Party officials are conferring with sister parties around the world for strategies on winning elections ,Neutral,0.97466778755188,Neutral,0.9999943971633912
2023-06-26T23:01:30.821Z,"Racism and sexism ‘widespread’ in English cricket, report finds ",Independent commission calls on sport to ‘urgently reform’ and add new regulator ,Neutral,0.999585211277008,Neutral,0.9969563484191896
none,none,none,0,0.0,0,0.0
2023-06-26T23:01:22.023Z,Rail operators draw up plans to close most ticket offices in England ,"Move to redeploy staff, long advocated by train companies, set to exacerbate protracted industrial dispute ",Neutral,0.9999841451644896,Negative,0.6004993319511414
2023-06-26T19:38:44.277Z,"Cost of Rwanda deportations put at about £170,000 per person",Home secretary defends controversial migrant policy as data in government assessment of economic impact is published,Neutral,0.9999935626983644,Neutral,0.9786689281463624
none,none,none,0,0.0,0,0.0
2023-06-26T18:36:23.259Z,Hunt demands action from banks to reward savers,Chancellor warns companies risk a regulatory crackdown if they do not pass on higher interest rates ,Neutral,0.977249264717102,Negative,0.9999191761016846
2023-06-26T18:35:30.615Z,Defence secretary calls for greater share of UK spending on military,Wallace comments come ahead of publication of plan to reshape armed forces in wake of Russia’s invasion of Ukraine,Neutral,0.9959393739700316,Neutral,0.9222955107688904
2023-06-26T16:48:10.180Z,Stephen Lawrence’s mother calls for police sackings after new suspect named,London’s Met Police apologises for another failure in bungled racist murder investigation 30 years ago,Neutral,0.999971866607666,Negative,0.9894633293151855
2023-06-26T08:30:05.202Z,Labour’s hard task of pledging both radical change and safe steering of economy,"Plus, Tory MPs are devoting more time to their constituencies as difficulties in NHS and economy raise risk of seat losses",Neutral,0.4777938723564148,Negative,0.9991162419319152
